Genre,Artist,Track Name,Full Multitrack Link,Excerpt Multitrack Link,Number of Tracks (Excerpt),Number of Tracks (Full),Full Mix Preview,Excerpt Mix Preview,Unmastered WAV,Forum Link,Podcast Link
Acoustic / Jazz / Country / Orchestral,Ghostly Beard,'Set Me Free',https://mtkdata.cambridgemusictechnology.co.uk/MTK009/PatrickTalbot_SetMeFree_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/PatrickTalbot_SetMeFree.zip,16,23,https://previews.cambridge-mt.com/SetMeFree_Full_Preview.mp3,https://previews.cambridge-mt.com/SetMeFree_Preview.mp3,https://previews.cambridge-mt.com/SetMeFree_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=284,
Acoustic / Jazz / Country / Orchestral,Ghostly Beard,'Upper Hand',https://mtkdata.cambridgemusictechnology.co.uk/MTK009/PatrickTalbot_UpperHand_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/PatrickTalbot_UpperHand.zip,29,31,https://previews.cambridge-mt.com/UpperHand_Full_Preview.mp3,https://previews.cambridge-mt.com/UpperHand_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=333,
Acoustic / Jazz / Country / Orchestral,Glen McPhee,'A Sailor Once More',https://multitracks.cambridge-mt.com/GlenMcPhee_ASailorOnceMore_Full.zip,https://multitracks.cambridge-mt.com/GlenMcPhee_ASailorOnceMore.zip,16,19,https://previews.cambridge-mt.com/ASailorOnceMore_Full_Preview.mp3,https://previews.cambridge-mt.com/ASailorOnceMore_Preview.mp3,https://previews.cambridge-mt.com/ASailorOnceMore_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=755,
Acoustic / Jazz / Country / Orchestral,H-owl Project,'If I Were A Bell',https://multitracks.cambridge-mt.com/HowlProject_IfIWereABell_Full.zip,https://multitracks.cambridge-mt.com/HowlProject_IfIWereABell.zip,10,10,https://previews.cambridge-mt.com/IfIWereABell_Full_Preview.mp3,https://previews.cambridge-mt.com/IfIWereABell_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=792,
Acoustic / Jazz / Country / Orchestral,Jade Safirah,'Paraisso',https://mtkdata.cambridgemusictechnology.co.uk/MTK019/JadeSafirah_Paraisso_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK019/JadeSafirah_Paraisso.zip,10,25,https://previews.cambridge-mt.com/Paraisso_Full_Preview.mp3,https://previews.cambridge-mt.com/Paraisso_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=540,
Acoustic / Jazz / Country / Orchestral,James May,'Hold On You',https://mtkdata.cambridgemusictechnology.co.uk/MTK004/JamesMay_HoldOnYou_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/JamesMay_HoldOnYou.zip,9,9,https://previews.cambridge-mt.com/HoldOnYou_Full_Preview.mp3,https://previews.cambridge-mt.com/HoldOnYou_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=321,
Acoustic / Jazz / Country / Orchestral,James May,'Eliza Jane',https://mtkdata.cambridgemusictechnology.co.uk/MTK004/JamesMay_ElizaJane_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/JamesMay_ElizaJane.zip,16,16,https://previews.cambridge-mt.com/ElizaJane_Full_Preview.mp3,https://previews.cambridge-mt.com/ElizaJane_Preview.mp3,https://previews.cambridge-mt.com/ElizaJane_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=389,
Acoustic / Jazz / Country / Orchestral,James May,'If You Say',https://mtkdata.cambridgemusictechnology.co.uk/MTK004/JamesMay_IfYouSay_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/JamesMay_IfYouSay.zip,16,16,https://previews.cambridge-mt.com/IfYouSay_Full_Preview.mp3,https://previews.cambridge-mt.com/IfYouSay_Preview.mp3,https://previews.cambridge-mt.com/IfYouSay_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=17,
Acoustic / Jazz / Country / Orchestral,James May,'On The Line',https://mtkdata.cambridgemusictechnology.co.uk/MTK004/MR1210_JamesMay_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/MR1210_JamesMay.zip,14,14,https://previews.cambridge-mt.com/1210_RemixLoud.mp3,https://previews.cambridge-mt.com/1210_PreviewLoud.mp3,https://previews.cambridge-mt.com/OnTheLine_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=173,
Acoustic / Jazz / Country / Orchestral,James May,'All Souls Moon',https://mtkdata.cambridgemusictechnology.co.uk/MTK004/JamesMay_AllSoulsMoon_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/JamesMay_AllSoulsMoon.zip,14,16,https://previews.cambridge-mt.com/AllSoulsMoon_Full_Preview.mp3,https://previews.cambridge-mt.com/AllSoulsMoon_Preview.mp3,https://previews.cambridge-mt.com/AllSoulsMoon_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=226,
Acoustic / Jazz / Country / Orchestral,James May,'Don't Let Go',https://mtkdata.cambridgemusictechnology.co.uk/MTK004/JamesMay_DontLetGo_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/JamesMay_DontLetGo.zip,11,13,https://previews.cambridge-mt.com/DontLetGo_Full_Preview.mp3,https://previews.cambridge-mt.com/DontLetGo_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=241,
Acoustic / Jazz / Country / Orchestral,Jeffrey Hayat,'Alex The Adventurer',https://mtkdata.cambridgemusictechnology.co.uk/MTK001/JeffreyHayat_AlexTheAdventurer_Full.zip,,,35,https://previews.cambridge-mt.com/AlexTheAdventurer_Full_Preview.mp3,,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=20,
Acoustic / Jazz / Country / Orchestral,Jesper Buhl Trio,'What Is This Thing Called Love',https://mtkdata.cambridgemusictechnology.co.uk/MTK002/MR0804_JesperBuhlTrio_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK002/MR0804_JesperBuhlTrio.zip,6,6,https://previews.cambridge-mt.com/0804_Remix.mp3,https://previews.cambridge-mt.com/0804_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=18,
